region,animal,decoder,contrast,alignment,auc_total,auc_-2.45_-1.95s,auc_-1.95_-1.45s,auc_-1.45_-0.95s,auc_-0.95_-0.45s,auc_-0.45_0.05s,auc_0.05_0.55s,auc_0.55_1.05s,auc_1.05_1.55s,auc_1.55_2.05s,auc_2.05_2.45s
CB,4_Milka,SVM,Push / Pull,Init,3.2296,0.2633,0.2662,0.2628,0.2673,0.3056,0.3373,0.3733,0.3717,0.3681,0.2825
CB,4_Milka,SVM,Push / Pull,Reach,3.1641,0.3062,0.3063,0.308,0.3119,0.3226,0.3084,0.3077,0.2956,0.3133,0.2538
CB,4_Milka,SVM,Dominant,Init,3.3319,0.2957,0.3025,0.3022,0.3028,0.3153,0.3425,0.3613,0.3472,0.3517,0.2763
CB,4_Milka,SVM,Dominant,Reach,3.1012,0.282,0.2922,0.2871,0.311,0.333,0.3182,0.3048,0.3004,0.3064,0.2392
CB,4_Milka,SVM,Center,Init,2.9868,0.2787,0.2804,0.283,0.2839,0.2832,0.295,0.305,0.3047,0.3097,0.2415
CB,4_Milka,SVM,Center,Reach,2.965,0.2813,0.2844,0.2785,0.2914,0.2993,0.3042,0.2822,0.2831,0.3021,0.2383
CB,4_Milka,SVM,Non-dominant,Init,2.9736,0.2763,0.2742,0.2787,0.2826,0.2916,0.3019,0.3088,0.2992,0.2941,0.2443
CB,4_Milka,SVM,Non-dominant,Reach,2.9277,0.2825,0.2948,0.2978,0.2956,0.2979,0.2799,0.2697,0.2771,0.285,0.2273
CB,4_Milka,LDA,Push / Pull,Init,3.2634,0.2674,0.2715,0.2662,0.2737,0.309,0.3382,0.3753,0.3762,0.3693,0.283
CB,4_Milka,LDA,Push / Pull,Reach,3.1039,0.2965,0.3008,0.2981,0.3069,0.3129,0.3058,0.303,0.2933,0.3089,0.2494
CB,4_Milka,LDA,Dominant,Init,3.3793,0.3016,0.3089,0.3067,0.3108,0.318,0.3425,0.3625,0.3503,0.3581,0.2839
CB,4_Milka,LDA,Dominant,Reach,3.107,0.2764,0.2923,0.285,0.3099,0.328,0.3238,0.3116,0.3029,0.3079,0.2409
CB,4_Milka,LDA,Center,Init,3.0282,0.2835,0.2872,0.2874,0.2857,0.2883,0.2998,0.3081,0.3046,0.3138,0.2468
CB,4_Milka,LDA,Center,Reach,2.942,0.2785,0.2844,0.2744,0.2887,0.291,0.299,0.2842,0.2839,0.2974,0.2395
CB,4_Milka,LDA,Non-dominant,Init,3.0028,0.2821,0.2799,0.2806,0.2859,0.2954,0.3032,0.308,0.301,0.2977,0.2454
CB,4_Milka,LDA,Non-dominant,Reach,2.9061,0.2804,0.292,0.2879,0.2941,0.2923,0.2793,0.2711,0.2746,0.284,0.2311
CB,4_Milka,Naive Bayes,Push / Pull,Init,3.154,0.2627,0.2582,0.2561,0.2611,0.3019,0.3276,0.3725,0.3648,0.3485,0.2715
CB,4_Milka,Naive Bayes,Push / Pull,Reach,2.9063,0.2798,0.2852,0.2807,0.2886,0.2982,0.2783,0.2806,0.2699,0.2883,0.237
CB,4_Milka,Naive Bayes,Dominant,Init,3.1093,0.2783,0.283,0.2759,0.275,0.294,0.3265,0.3441,0.3332,0.3194,0.2529
CB,4_Milka,Naive Bayes,Dominant,Reach,2.9274,0.279,0.2852,0.2879,0.297,0.3138,0.2917,0.2781,0.2673,0.2845,0.2193
CB,4_Milka,Naive Bayes,Center,Init,2.8397,0.2601,0.2627,0.2647,0.2645,0.2683,0.2859,0.2984,0.2906,0.2939,0.2348
CB,4_Milka,Naive Bayes,Center,Reach,2.7827,0.2626,0.2646,0.2649,0.2756,0.2906,0.2828,0.2632,0.2608,0.2837,0.221
CB,4_Milka,Naive Bayes,Non-dominant,Init,2.8224,0.2581,0.2633,0.2635,0.2624,0.2793,0.2853,0.2945,0.2897,0.2829,0.226
CB,4_Milka,Naive Bayes,Non-dominant,Reach,2.7649,0.2667,0.2648,0.2831,0.2776,0.2847,0.2668,0.2524,0.2691,0.2669,0.2191
CB,4_Milka,Kalman,Push / Pull,Init,3.3265,0.2799,0.2811,0.2758,0.282,0.3177,0.3434,0.3728,0.3704,0.3723,0.2955
CB,4_Milka,Kalman,Push / Pull,Reach,3.34,0.316,0.3257,0.3253,0.3295,0.3431,0.3245,0.3216,0.3144,0.3362,0.2663
CB,4_Milka,Kalman,Dominant,Init,3.4147,0.3109,0.3147,0.3136,0.3121,0.3218,0.3472,0.3617,0.3518,0.3586,0.2841
CB,4_Milka,Kalman,Dominant,Reach,3.3263,0.3032,0.3127,0.3185,0.3306,0.346,0.3324,0.3234,0.3228,0.336,0.2629
CB,4_Milka,Kalman,Center,Init,3.0308,0.2862,0.284,0.2898,0.2861,0.2877,0.2999,0.3051,0.3039,0.3153,0.2495
CB,4_Milka,Kalman,Center,Reach,3.0653,0.2878,0.2852,0.2823,0.2957,0.3143,0.3101,0.2917,0.2999,0.3238,0.2493
CB,4_Milka,Kalman,Non-dominant,Init,3.061,0.2819,0.2802,0.2899,0.2934,0.3049,0.311,0.3121,0.3068,0.3016,0.2527
CB,4_Milka,Kalman,Non-dominant,Reach,3.0506,0.298,0.2988,0.317,0.3145,0.3083,0.293,0.2789,0.2894,0.2884,0.2396
CB,5_FerreroRocher,SVM,Push / Pull,Init,3.5779,0.2944,0.2933,0.2969,0.2966,0.3342,0.3662,0.4106,0.4112,0.4128,0.3162
CB,5_FerreroRocher,SVM,Push / Pull,Reach,3.9202,0.375,0.3809,0.3774,0.39,0.4066,0.3884,0.378,0.3711,0.381,0.3106
CB,5_FerreroRocher,SVM,Dominant,Init,3.8194,0.3312,0.3301,0.325,0.3397,0.3858,0.4177,0.4284,0.4046,0.4018,0.2974
CB,5_FerreroRocher,SVM,Dominant,Reach,3.9028,0.3366,0.341,0.3652,0.4258,0.4569,0.427,0.3841,0.3531,0.3645,0.2868
CB,5_FerreroRocher,SVM,Center,Init,3.352,0.2968,0.2984,0.301,0.3138,0.3341,0.363,0.366,0.3446,0.3405,0.2531
CB,5_FerreroRocher,SVM,Center,Reach,3.403,0.3005,0.3068,0.3384,0.3637,0.3933,0.354,0.3255,0.3093,0.3143,0.2573
CB,5_FerreroRocher,SVM,Non-dominant,Init,3.4874,0.3214,0.3054,0.3038,0.3165,0.3565,0.3779,0.3722,0.3565,0.3543,0.2788
CB,5_FerreroRocher,SVM,Non-dominant,Reach,3.5174,0.3114,0.322,0.3409,0.3707,0.4087,0.3718,0.3364,0.316,0.3277,0.2645
CB,5_FerreroRocher,LDA,Push / Pull,Init,3.5774,0.2974,0.3011,0.3012,0.2994,0.3362,0.3635,0.4053,0.4035,0.41,0.3136
CB,5_FerreroRocher,LDA,Push / Pull,Reach,3.5232,0.3376,0.3372,0.3361,0.3483,0.364,0.3535,0.3369,0.3334,0.349,0.283
CB,5_FerreroRocher,LDA,Dominant,Init,3.6578,0.3222,0.3191,0.3164,0.3298,0.3658,0.3978,0.4026,0.3828,0.3824,0.2872
CB,5_FerreroRocher,LDA,Dominant,Reach,3.6113,0.3149,0.3219,0.3375,0.3885,0.4125,0.3903,0.3592,0.3306,0.3377,0.2673
CB,5_FerreroRocher,LDA,Center,Init,3.244,0.2906,0.2928,0.2925,0.3067,0.3214,0.3434,0.345,0.3291,0.3342,0.2533
CB,5_FerreroRocher,LDA,Center,Reach,3.1846,0.2875,0.2956,0.3174,0.3316,0.3481,0.329,0.3075,0.2955,0.2972,0.2429
CB,5_FerreroRocher,LDA,Non-dominant,Init,3.3859,0.3143,0.304,0.3035,0.3099,0.339,0.361,0.353,0.3421,0.3457,0.2743
CB,5_FerreroRocher,LDA,Non-dominant,Reach,3.321,0.3027,0.3088,0.3202,0.3428,0.3687,0.3423,0.3188,0.3077,0.3167,0.2525
CB,5_FerreroRocher,Naive Bayes,Push / Pull,Init,3.3552,0.2864,0.2802,0.2814,0.2808,0.3174,0.3285,0.3774,0.3807,0.3877,0.299
CB,5_FerreroRocher,Naive Bayes,Push / Pull,Reach,3.6131,0.3467,0.3403,0.3529,0.3624,0.3738,0.3606,0.3513,0.3447,0.3485,0.2808
CB,5_FerreroRocher,Naive Bayes,Dominant,Init,3.5195,0.311,0.3017,0.2962,0.3051,0.3506,0.3796,0.4057,0.3908,0.3686,0.2637
