region,animal,decoder,contrast,alignment,auc_total,auc_-2.45_-1.95s,auc_-1.95_-1.45s,auc_-1.45_-0.95s,auc_-0.95_-0.45s,auc_-0.45_0.05s,auc_0.05_0.55s,auc_0.55_1.05s,auc_1.05_1.55s,auc_1.55_2.05s,auc_2.05_2.45s
BG,5_FerreroRocher,LDA,Non-dominant,Reach,3.0071,0.2594,0.269,0.2859,0.3285,0.3728,0.32,0.2871,0.2642,0.2732,0.2201
BG,5_FerreroRocher,Naive Bayes,Push / Pull,Init,3.2927,0.2802,0.2828,0.2813,0.2712,0.3027,0.3247,0.3749,0.3802,0.3733,0.2868
BG,5_FerreroRocher,Naive Bayes,Push / Pull,Reach,3.0449,0.2814,0.2886,0.2913,0.3075,0.3299,0.3071,0.3002,0.2761,0.2945,0.2395
BG,5_FerreroRocher,Naive Bayes,Dominant,Init,3.3566,0.2861,0.2764,0.2859,0.2779,0.3248,0.3822,0.4066,0.3891,0.3462,0.2408
BG,5_FerreroRocher,Naive Bayes,Dominant,Reach,3.3604,0.2837,0.2852,0.309,0.3934,0.444,0.3706,0.3208,0.2788,0.2941,0.2377
BG,5_FerreroRocher,Naive Bayes,Center,Init,2.8978,0.2609,0.2616,0.2567,0.2532,0.2834,0.3062,0.3235,0.319,0.2965,0.2164
BG,5_FerreroRocher,Naive Bayes,Center,Reach,2.8874,0.2617,0.2638,0.2718,0.3226,0.3397,0.3,0.2755,0.2499,0.2671,0.2147
BG,5_FerreroRocher,Naive Bayes,Non-dominant,Init,3.1192,0.2719,0.2688,0.2762,0.2676,0.2975,0.3386,0.3733,0.3431,0.3213,0.2313
BG,5_FerreroRocher,Naive Bayes,Non-dominant,Reach,3.1228,0.2671,0.2719,0.2936,0.3519,0.3846,0.33,0.288,0.2783,0.2919,0.2345
BG,5_FerreroRocher,Kalman,Push / Pull,Init,3.3974,0.2992,0.2914,0.2867,0.2857,0.3272,0.3218,0.3716,0.372,0.3971,0.3057
BG,5_FerreroRocher,Kalman,Push / Pull,Reach,3.2861,0.3034,0.3131,0.3198,0.3384,0.3516,0.3382,0.3209,0.296,0.3137,0.2538
BG,5_FerreroRocher,Kalman,Dominant,Init,3.3521,0.2862,0.2822,0.2821,0.2775,0.3242,0.3501,0.3887,0.3962,0.3592,0.2661
BG,5_FerreroRocher,Kalman,Dominant,Reach,3.4993,0.2894,0.2934,0.3183,0.3944,0.4361,0.3893,0.3489,0.3091,0.3195,0.2532
BG,5_FerreroRocher,Kalman,Center,Init,2.9719,0.2641,0.2642,0.2662,0.2608,0.2837,0.3001,0.332,0.3267,0.3143,0.2364
BG,5_FerreroRocher,Kalman,Center,Reach,3.0523,0.2605,0.2652,0.2814,0.336,0.357,0.3312,0.2958,0.2773,0.2888,0.231
BG,5_FerreroRocher,Kalman,Non-dominant,Init,3.042,0.2765,0.2658,0.2577,0.2554,0.2959,0.3184,0.3451,0.3445,0.3184,0.2365
BG,5_FerreroRocher,Kalman,Non-dominant,Reach,3.1108,0.2697,0.2799,0.2991,0.3358,0.3582,0.343,0.3022,0.2753,0.2863,0.2301
