region,animal,decoder,contrast,alignment,n_sessions,mean_peak_BAC,sem_peak_BAC,W_stat,p_value,above_chance
CB,4_Milka,Kalman,Dominant,Reach,4,0.8258,0.0315,10.0,0.0625,False
CB,4_Milka,Kalman,Center,Init,5,0.7605,0.0177,15.0,0.0312,True
CB,4_Milka,Kalman,Center,Reach,4,0.7566,0.0176,10.0,0.0625,False
CB,4_Milka,Kalman,Non-dominant,Init,4,0.7405,0.016,10.0,0.0625,False
CB,4_Milka,Kalman,Non-dominant,Reach,3,0.7531,0.0289,6.0,0.125,False
CB,5_FerreroRocher,SVM,Push / Pull,Init,4,0.9335,0.0166,10.0,0.0625,False
CB,5_FerreroRocher,SVM,Push / Pull,Reach,3,0.909,0.0283,6.0,0.125,False
CB,5_FerreroRocher,SVM,Dominant,Init,4,0.9524,0.0216,10.0,0.0625,False
CB,5_FerreroRocher,SVM,Dominant,Reach,4,0.9907,0.0051,10.0,0.0625,False
CB,5_FerreroRocher,SVM,Center,Init,4,0.8715,0.0181,10.0,0.0625,False
CB,5_FerreroRocher,SVM,Center,Reach,4,0.9077,0.0165,10.0,0.0625,False
CB,5_FerreroRocher,SVM,Non-dominant,Init,4,0.8706,0.0187,10.0,0.0625,False
CB,5_FerreroRocher,SVM,Non-dominant,Reach,4,0.9466,0.0142,10.0,0.0625,False
CB,5_FerreroRocher,LDA,Push / Pull,Init,4,0.9097,0.0258,10.0,0.0625,False
CB,5_FerreroRocher,LDA,Push / Pull,Reach,3,0.8237,0.0688,6.0,0.125,False
CB,5_FerreroRocher,LDA,Dominant,Init,4,0.897,0.0482,10.0,0.0625,False
CB,5_FerreroRocher,LDA,Dominant,Reach,4,0.9156,0.0649,10.0,0.0625,False
CB,5_FerreroRocher,LDA,Center,Init,4,0.8062,0.0363,10.0,0.0625,False
CB,5_FerreroRocher,LDA,Center,Reach,4,0.7993,0.0612,10.0,0.0625,False
CB,5_FerreroRocher,LDA,Non-dominant,Init,4,0.8304,0.033,10.0,0.0625,False
CB,5_FerreroRocher,LDA,Non-dominant,Reach,4,0.8645,0.0626,10.0,0.0625,False
CB,5_FerreroRocher,Naive Bayes,Push / Pull,Init,4,0.85,0.0562,10.0,0.0625,False
CB,5_FerreroRocher,Naive Bayes,Push / Pull,Reach,3,0.875,0.0298,6.0,0.125,False
CB,5_FerreroRocher,Naive Bayes,Dominant,Init,4,0.9095,0.0278,10.0,0.0625,False
CB,5_FerreroRocher,Naive Bayes,Dominant,Reach,4,0.965,0.0117,10.0,0.0625,False
CB,5_FerreroRocher,Naive Bayes,Center,Init,4,0.7911,0.0233,10.0,0.0625,False
CB,5_FerreroRocher,Naive Bayes,Center,Reach,4,0.8344,0.0224,10.0,0.0625,False
CB,5_FerreroRocher,Naive Bayes,Non-dominant,Init,4,0.835,0.0164,10.0,0.0625,False
CB,5_FerreroRocher,Naive Bayes,Non-dominant,Reach,4,0.876,0.0124,10.0,0.0625,False
CB,5_FerreroRocher,Kalman,Push / Pull,Init,4,0.8958,0.0191,10.0,0.0625,False
CB,5_FerreroRocher,Kalman,Push / Pull,Reach,3,0.879,0.0283,6.0,0.125,False
CB,5_FerreroRocher,Kalman,Dominant,Init,4,0.9337,0.0161,10.0,0.0625,False
CB,5_FerreroRocher,Kalman,Dominant,Reach,4,0.9811,0.0065,10.0,0.0625,False
CB,5_FerreroRocher,Kalman,Center,Init,4,0.8101,0.0266,10.0,0.0625,False
CB,5_FerreroRocher,Kalman,Center,Reach,4,0.8505,0.0094,10.0,0.0625,False
CB,5_FerreroRocher,Kalman,Non-dominant,Init,4,0.8682,0.0076,10.0,0.0625,False
CB,5_FerreroRocher,Kalman,Non-dominant,Reach,4,0.8857,0.0074,10.0,0.0625,False
